Game ID,Week,Team,Opponent,Home/Away,Final Score,Opponent Score,Total Yards,Total Plays,EPA/Play,Pass Completions,Pass Attempts,Pass Yards,EPA/Pass,Rush Attempts,Rush Yards,EPA/Rush,First Downs,Third Down Conversions,Third Down Attempts,Interceptions Thrown,Fumbles Lost,Sacks Taken,Sack Yards,Sack EPA,Penalties,Penalty Yards,Penalty EPA
2026_02_MIN_CHI,2,MIN,CHI,Away,9,3,246,51,-0.078,11,23,127,0.022,28,119,-0.16,10,3,13,0,0,3,-16,-4.16,3,25,1.67
2026_02_NO_BAL,2,BAL,NO,Home,17,24,312,56,0.113,21,34,204,0.098,22,108,0.136,19,4,9,1,0,3,-31,-6.09,7,34,1.71
2026_02_NO_BAL,2,NO,BAL,Away,24,17,300,65,0.147,27,37,233,0.295,28,67,-0.05,17,8,15,0,0,3,-19,-5.22,5,35,-1.36
2026_02_NYG_LA,2,LAR,NYG,Home,28,6,481,60,0.199,22,32,318,0.582,28,163,-0.239,23,5,9,1,1,1,-9,-1.5,6,50,1.27
2026_02_NYG_LA,2,NYG,LAR,Away,6,28,182,55,-0.429,14,34,130,-0.518,21,52,-0.286,10,3,14,1,0,2,-1,-1.82,3,20,-2.29
2026_02_PHI_TEN,2,PHI,TEN,Away,24,20,341,72,0.039,26,40,252,0.219,32,89,-0.186,21,11,18,2,0,3,-12,-3.14,4,35,-2.9
2026_02_PHI_TEN,2,TEN,PHI,Home,20,24,291,51,0.075,13,22,169,-0.004,29,122,0.135,14,6,13,0,0,2,-14,-2.42,7,45,1.3
2026_02_PIT_NE,2,NE,PIT,Home,20,3,327,53,-0.067,14,25,191,-0.211,28,136,0.062,14,4,12,1,1,3,-17,-2.71,6,31,0.29
2026_02_PIT_NE,2,PIT,NE,Away,3,20,235,67,-0.356,23,44,144,-0.496,23,91,-0.087,14,2,12,1,1,4,-43,-15.05,5,59,-3.32
2026_02_SEA_ARI,2,ARI,SEA,Home,7,31,151,47,-0.325,17,30,81,-0.269,17,70,-0.424,8,3,12,1,0,2,-14,-4.91,6,48,1.58
2026_02_SEA_ARI,2,SEA,ARI,Away,31,7,381,67,0.134,19,27,219,0.596,40,162,-0.178,22,6,13,0,1,1,-16,-0.36,3,26,1.08
2026_02_WAS_DAL,2,DAL,WSH,Home,37,20,332,54,0.227,26,33,266,0.458,21,66,-0.136,19,7,11,0,0,2,-13,-3.66,5,32,1.55
2026_02_WAS_DAL,2,WSH,DAL,Away,20,37,389,67,0.069,23,35,207,0.035,32,182,0.106,22,8,14,0,1,0,0,0.0,5,38,-1.54
