Player,Team,Position,Pass Yards,Pass TD,Interceptions,Rush Yards,Rush TD,Receptions,Receiving Yards,Receiving TD
Caleb Williams,CHI,QB,269.0,2.0,0.0,65.0,2.0,0.0,0.0,0.0
Cam Skattebo,NYG,RB,0.0,0.0,0.0,81.0,1.0,0.0,0.0,0.0
Cam Ward,TEN,QB,140.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0
Carnell Tate,TEN,WR,0.0,0.0,0.0,0.0,0.0,4.0,38.0,0.0
Carson Wentz,MIN,QB,133.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0
CeeDee Lamb,DAL,WR,0.0,0.0,0.0,0.0,0.0,5.0,44.0,1.0
Chase Brown,CIN,RB,0.0,0.0,0.0,56.0,1.0,5.0,22.0,0.0
Chig Okonkwo,WSH,TE,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0
Chimere Dike,TEN,WR,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0
Chris Bell,MIA,WR,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0
Chris Brooks,GB,RB,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
Chris Godwin Jr.,TB,WR,0.0,0.0,0.0,3.0,0.0,4.0,40.0,0.0
Chris Moore,BAL,WR,0.0,0.0,0.0,0.0,0.0,1.0,53.0,0.0
Chris Olave,NO,WR,0.0,0.0,0.0,0.0,0.0,10.0,182.0,0.0
Chris Rodriguez Jr.,JAX,RB,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
Christian McCaffrey,SF,RB,0.0,0.0,0.0,68.0,0.0,5.0,20.0,0.0
Christian Watson,GB,WR,0.0,0.0,0.0,0.0,0.0,6.0,147.0,2.0
Chuba Hubbard,CAR,RB,0.0,0.0,0.0,49.0,1.0,3.0,38.0,1.0
Cody White,LV,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colby Parkinson,LAR,TE,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0
Cole Kmet,CHI,TE,0.0,0.0,0.0,0.0,0.0,2.0,35.0,1.0
Colston Loveland,CHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cooper Kupp,SEA,WR,0.0,0.0,0.0,0.0,0.0,2.0,35.0,0.0
Cooper Rush,ATL,QB,143.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Corey Kiner,NE,RB,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
Courtland Sutton,DEN,WR,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0
Cyrus Allen,KC,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Andre Swift,CHI,RB,0.0,0.0,0.0,124.0,3.0,1.0,10.0,0.0
DJ Moore,BUF,WR,0.0,0.0,0.0,-1.0,0.0,5.0,100.0,1.0
DK Metcalf,PIT,WR,0.0,0.0,0.0,0.0,0.0,4.0,40.0,0.0
Dak Prescott,DAL,QB,175.0,2.0,1.0,14.0,0.0,0.0,0.0,0.0
Dallas Goedert,PHI,TE,0.0,0.0,0.0,0.0,0.0,4.0,77.0,2.0
Dalton Kincaid,BUF,TE,0.0,0.0,0.0,0.0,0.0,12.0,225.0,1.0
Dalton Schultz,HOU,TE,0.0,0.0,0.0,0.0,0.0,4.0,35.0,0.0
Daniel Bellinger,TEN,TE,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0
Daniel Jones,IND,QB,166.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0
Darnell Mooney,NYG,WR,0.0,0.0,0.0,0.0,0.0,2.0,27.0,0.0
Darnell Washington,PIT,TE,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0
Darren Waller,CAR,TE,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0
Davante Adams,LAR,WR,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0
David Montgomery,HOU,RB,0.0,0.0,0.0,60.0,2.0,3.0,19.0,1.0
David Njoku,LAC,TE,0.0,0.0,0.0,0.0,0.0,5.0,58.0,0.0
Davis Allen,LAR,TE,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0
Dawson Knox,BUF,TE,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0
De'Von Achane,MIA,RB,0.0,0.0,0.0,36.0,0.0,4.0,30.0,0.0
DeMario Douglas,NE,WR,0.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0
DeVonta Smith,PHI,WR,0.0,0.0,0.0,0.0,0.0,3.0,53.0,0.0
DeeJay Dallas,MIN,RB,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Deebo Samuel Sr.,SF,WR,0.0,0.0,0.0,12.0,0.0,6.0,48.0,1.0
Demarcus Robinson,SF,WR,0.0,0.0,0.0,0.0,0.0,2.0,50.0,1.0
Denzel Boston,CLE,WR,0.0,0.0,0.0,0.0,0.0,2.0,59.0,1.0
Derius Davis,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Henry,BAL,RB,0.0,0.0,0.0,144.0,3.0,1.0,19.0,0.0
Deshaun Watson,CLE,QB,205.0,1.0,1.0,38.0,0.0,0.0,0.0,0.0
