Player,Team,RZ Targets,RZ Receptions,RZ Rec TD,RZ Rush Attempts,RZ Rush TD,RZ Target Share,RZ Rush Share
Brock Purdy,SF,0,0,0,1,1,0.0,0.111
Bryce Young,CAR,0,0,0,3,1,0.0,0.25
Chris Brooks,GB,0,0,0,4,0,0.0,0.5
C.Rodriguez,JAX,0,0,0,2,0,0.0,0.5
Cam Skattebo,NYG,0,0,0,5,1,0.0,0.556
Cam Ward,TEN,0,0,0,4,2,0.0,0.364
Caleb Williams,CHI,0,0,0,4,1,0.0,0.267
De'Von Achane,MIA,0,0,0,7,0,0.0,0.583
Derrick Henry,BAL,0,0,0,11,3,0.0,0.917
Daniel Jones,IND,0,0,0,1,0,0.0,0.091
Drew Lock,SEA,0,0,0,1,0,0.0,0.056
Dak Prescott,DAL,0,0,0,1,0,0.0,0.111
Deshaun Watson,CLE,0,0,0,2,0,0.0,0.4
Emari Demercado,DAL,0,0,0,1,0,0.0,0.111
Emmett Johnson,KC,0,0,0,1,0,0.0,0.071
Geno Smith,NYJ,0,0,0,1,0,0.0,0.125
Josh Allen,BUF,0,0,0,5,3,0.0,0.455
Jacoby Brissett,ARI,0,0,0,1,0,0.0,0.111
Joe Burrow,CIN,0,0,0,4,0,0.0,0.364
Jonah Coleman,DEN,0,0,0,3,1,0.0,0.3
Jacory Croskey-Merritt,WSH,0,0,0,2,1,0.0,0.167
Jayden Daniels,WSH,0,0,0,4,0,0.0,0.333
Jaxson Dart,NYG,0,0,0,1,0,0.0,0.111
J.K. Dobbins,DEN,0,0,0,3,0,0.0,0.3
Jared Goff,DET,0,0,0,1,0,0.0,0.077
Justin Herbert,LAC,0,0,0,4,0,0.0,0.4
Jalen Hurts,PHI,0,0,0,1,0,0.0,0.1
Jordan Love,GB,0,0,0,1,0,0.0,0.125
Jordan Mason,MIN,0,0,0,4,1,0.0,0.5
Jadarian Price,SEA,0,0,0,3,0,0.0,0.167
Jonathan Taylor,IND,0,0,0,10,3,0.0,0.909
Jaylen Wright,MIA,0,0,0,2,0,0.0,0.167
Kaytron Allen,WSH,0,0,0,3,0,0.0,0.25
Kaelon Black,SF,0,0,0,2,0,0.0,0.222
Kendre Miller,NO,0,0,0,2,1,0.0,0.2
Keaton Mitchell,LAC,0,0,0,2,0,0.0,0.2
Kenyon Sadiq,NYJ,0,0,0,1,1,0.0,0.125
KaVontae Turpin,DAL,0,0,0,1,0,0.0,0.111
Lamar Jackson,BAL,0,0,0,1,1,0.0,0.083
Matthew Stafford,LAR,0,0,0,2,0,0.0,0.2
M.Washington,LV,0,0,0,2,0,0.0,0.182
Malik Washington,MIA,0,0,0,1,0,0.0,0.083
Malik Willis,MIA,0,0,0,1,1,0.0,0.083
Najee Harris,NYG,0,0,0,2,0,0.0,0.222
Nicholas Singleton,TEN,0,0,0,1,0,0.0,0.091
Ollie Gordon II,MIA,0,0,0,1,0,0.0,0.083
Omarion Hampton,LAC,0,0,0,4,2,0.0,0.4
Patrick Mahomes,KC,0,0,0,5,1,0.0,0.357
Quinshon Judkins,CLE,0,0,0,3,0,0.0,0.6
Rico Dowdle,PIT,0,0,0,1,0,0.0,1.0
Ronnie Rivers,LAR,0,0,0,2,0,0.0,0.2
Rashid Shaheed,SEA,0,0,0,1,0,0.0,0.056
Saquon Barkley,PHI,0,0,0,2,0,0.0,0.2
Samaje Perine,CIN,0,0,0,1,0,0.0,0.091
Sione Vaki,DET,0,0,0,1,0,0.0,0.077
Tank Bigsby,PHI,0,0,0,3,1,0.0,0.3
Tony Pollard,TEN,0,0,0,5,0,0.0,0.455
Tyler Shough,NO,0,0,0,5,1,0.0,0.5
Tyjae Spears,TEN,0,0,0,1,0,0.0,0.091
Will Shipley,PHI,0,0,0,4,0,0.0,0.4
